ticket_id,category,priority,created_at,resolution_hours
TCK00000,Hardware,Critical,2024-06-06 04:00:00,6.9
TCK00001,Software,Low,2024-05-01 15:00:00,36.94
TCK00002,Network,Critical,2024-04-11 09:00:00,19.79
TCK00003,Software,Medium,2024-01-20 18:00:00,9.22
TCK00004,Network,Low,2024-02-10 15:00:00,22.77
TCK00005,Hardware,Critical,2024-03-04 16:00:00,14.45
TCK00006,Software,Low,2024-04-11 11:00:00,13.18
TCK00007,Network,Low,2024-03-02 14:00:00,39.06
TCK00008,Printer,Low,2024-05-11 08:00:00,12.74
TCK00009,Software,Medium,2024-03-03 12:00:00,5.27
TCK00010,Email,High,2024-03-23 13:00:00,4.93
TCK00011,Software,Medium,2024-01-15 01:00:00,15.08
TCK00012,Software,Critical,2024-01-16 19:00:00,6.5
TCK00013,Network,Medium,2024-03-25 11:00:00,12.95
TCK00014,Network,Low,2024-01-17 07:00:00,44.1
TCK00015,Hardware,Low,2024-01-09 08:00:00,24.6
TCK00016,Network,Low,2024-04-12 06:00:00,51.76
TCK00017,Network,Medium,2024-04-22 02:00:00,52.31
TCK00018,Software,High,2024-02-06 06:00:00,11.33
TCK00019,Printer,Medium,2024-06-23 15:00:00,4.14
TCK00020,Network,Medium,2024-03-10 22:00:00,15.74
TCK00021,Network,Low,2024-04-19 09:00:00,40.75
TCK00022,Network,Low,2024-05-31 03:00:00,45.68
TCK00023,Network,Medium,2024-04-03 05:00:00,23.39
TCK00024,Network,Medium,2024-04-21 11:00:00,10.14
TCK00025,Software,Medium,2024-01-28 15:00:00,6.18
TCK00026,Network,Medium,2024-05-17 16:00:00,17.24
TCK00027,Network,Medium,2024-03-09 04:00:00,24.35
TCK00028,Network,Medium,2024-02-05 14:00:00,35.25
TCK00029,Network,Medium,2024-03-13 05:00:00,22.66
TCK00030,Access/Permissions,High,2024-06-24 18:00:00,8.08
TCK00031,Printer,Medium,2024-05-29 06:00:00,5.33
TCK00032,Printer,Low,2024-05-21 13:00:00,12.53
TCK00033,Network,Medium,2024-01-07 02:00:00,34.35
TCK00034,Network,High,2024-03-22 15:00:00,38.14
TCK00035,Hardware,Low,2024-06-18 05:00:00,14.47
TCK00036,Network,Low,2024-01-26 23:00:00,55.71
TCK00037,Network,High,2024-05-09 12:00:00,93.34
TCK00038,Network,Low,2024-03-11 02:00:00,36.13
TCK00039,Email,Medium,2024-03-09 16:00:00,5.3
TCK00040,Printer,Medium,2024-05-12 15:00:00,9.52
TCK00041,Network,Medium,2024-04-29 13:00:00,16.62
TCK00042,Printer,Low,2024-02-24 04:00:00,5.94
TCK00043,Access/Permissions,Low,2024-04-23 23:00:00,2.46
TCK00044,Hardware,Low,2024-03-11 13:00:00,15.26
